Designator,Mid X,Mid Y,Rotation,Layer
C1,222.575406,-93.949407,180.0,top
C11,208.57,-106.16,270.0,top
C12,197.083759,-98.730646,0.0,top
C13,197.083841,-94.132626,0.0,top
C15,221.592366,-97.725228,0.0,top
C2,224.588174,-106.22,90.0,top
C3,221.577232,-102.15552,180.0,top
C4,235.478174,-95.33,0.0,top
C5,233.928174,-106.22,270.0,top
C6,223.03884,-95.212663,180.0,top
C7,224.574487,-93.773674,90.0,top
C8,213.9,-103.78,0.0,top
C9,221.588174,-99.6,0.0,top
J1,209.5,-96.125,180.0,top
J14,193.575,-105.375,90.0,top
J2,181.75,-100.0,270.0,bottom
J6,205.55,-104.82,180.0,top
L1,221.008174,-103.4,0.0,top
R1,206.5,-99.6,180.0,top
R10,185.299124,-100.955033,270.0,top
R2,208.4,-99.6,0.0,top
R3,233.938174,-93.76,90.0,top
R4,208.58,-104.26,270.0,top
R6,221.572366,-96.745228,180.0,top
R9,185.299999,-99.039041,90.0,top
U1,190.237633,-96.508246,180.0,top
U2,229.258174,-100.0,0.0,top
