Designator,Mid X,Mid Y,Rotation,Layer
C1,116.723892,-61.588176,270.0,top
C10,97.024113,-58.0097,180.0,top
C11,94.887943,-59.68088,0.0,top
C12,124.25,-63.0,90.0,top
C13,124.25,-67.75,90.0,top
C14,113.00414,-54.61875,180.0,top
C15,110.812337,-54.770568,90.0,top
C2,104.75,-55.248505,0.0,top
C3,102.7,-68.5,180.0,top
C4,113.3,-68.5,0.0,top
C5,115.845752,-59.4,180.0,top
C6,100.250023,-64.629322,180.0,top
C7,100.250023,-63.570508,180.0,top
C8,93.6,-65.0,270.0,top
C9,100.712771,-60.921409,270.0,top
J10,139.056203,-60.5,90.0,top
J11,116.466474,-54.040579,0.0,top
J14,131.61561,-58.641622,180.0,top
J2,97.519058,-54.0,0.0,top
J5,119.633796,-67.123549,180.0,top
J6,91.240437,-56.250869,90.0,top
J8,124.644509,-58.341156,90.0,top
L1,99.082894,-65.95349,180.0,top
R1,100.25,-62.497789,0.0,top
R10,133.709342,-61.007846,180.0,top
R2,99.018223,-61.433458,180.0,top
R3,106.74804,-55.25,180.0,top
R4,92.886949,-59.692185,0.0,top
R5,119.547926,-63.049856,180.0,top
R6,109.730737,-54.779424,270.0,top
R7,113.0,-53.514569,0.0,top
R8,118.273208,-58.481757,180.0,top
R9,134.162773,-59.491788,90.0,top
U1,129.85,-65.750001,0.0,top
U2,108.0,-62.5,0.0,top
